ranking,name,age,weight,gender,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
C,Brandon Moreno,27,125,Male,67,8,2,2,,19,5,2,
1,Deiveson Figueiredo,33,125,Male,65,9,2,1,,20,2,1,
2,Askar Askarov,29,125,Male,65,3,0,1,,14,0,1,
3,Alexandre Pantoja,31,125,Male,65,8,3,,,24,5,,
4,Alex Perez,29,125,Male,64,6,2,,,24,6,,
5,Brandon Royval,29,125,Male,67,2,2,,,12,6,,
6,Kai Kara-France,28,125,Male,65,5,2,,,22,9,,1
7,Rogerio Bontorin,29,125,Male,65,3,2,,,17,3,,1
8,Matheus Nicolau,28,125,Male,66,5,1,,,17,2,1,
9,Matt Schnell,31,125,Male,68,5,4,,,15,6,,
10,David Dvorak,29,125,Male,65,3,0,,,20,3,,
11,Tim Elliott,34,125,Male,67,6,10,,,16,13,1,
12,Su Mudaerji,25,125,Male,68,3,1,,,14,4,,
13,Amir Albazi,28,125,Male,65,2,0,,,14,1,,
14,Tagir Ulanbekov,28,125,Male,66,2,0,,,13,1,,
15,Tyson Nam,38,125,Male,67,2,3,,,20,12,1,
C,Aljamain Sterling,32,135,Male,67,12,3,,,20,3,,
1,Petr Yan,28,135,Male,67,8,1,,,16,2,,
2,Tj Dillashaw,35,135,Male,66,13,4,,,17,4,,
3,Cory Sandhagen,29,135,Male,71,7,3,,,14,4,,
4,Rob Font,34,135,Male,68,9,3,,,19,4,,
5,Jose Aldo,35,135,Male,67,20,6,,,30,7,,
6,Merab Dvalishvili,30,135,Male,66,7,2,,,14,4,,
7,Cody Garbrandt,30,135,Male,67,7,4,,,12,4,,
8,Pedro Munhoz,35,135,Male,66,9,6,,1,19,6,,1
9,Marlon Moraes,33,135,Male,66,5,5,,,23,9,1,
10,Dominick Cruz,36,135,Male,68,13,3,,,23,3,,
11,Marlon Vera,28,135,Male,68,12,6,,,18,7,1,
12,Raphael Assuncao,39,135,Male,65,14,7,,,27,8,,
13,Frankie Edgar,40,135,Male,66,18,10,1,,24,10,1,
14,Song Yadong,23,135,Male,66,7,1,1,,18,5,1,1
15,Cody Stamann,32,135,Male,66,5,3,1,,19,4,1,
C,Alexander Volkanovski,33,145,Male,66,10,0,,,23,1,,
1,Max Holloway,29,145,Male,71,19,6,,,23,6,,
2,Brian Ortega,30,145,Male,68,7,2,,1,15,2,,1
3,Yair Rodriguez,29,145,Male,71,8,2,,1,13,3,,1
4,Chan Sung Jung,34,145,Male,69,7,5,,,17,6,,
5,Calvin Kattar,33,145,Male,71,6,3,,,22,5,,
6,Arnold Allen,27,145,Male,68,8,0,,,17,1,,
7,Josh Emmett,36,145,Male,67,7,2,,,16,2,,
8,Giga Chikadze,33,145,Male,72,7,0,,,14,2,,
9,Dan Ige,30,145,Male,67,7,3,,,15,4,,
10,Edson Barboza,35,145,Male,71,16,10,,,22,10,,
11,Bryce Mitchell,27,145,Male,70,5,0,,,14,0,,
12,Sodiq Yusuff,28,145,Male,69,4,1,,,11,2,,
13,Movsar Evloev,29,145,Male,68,5,0,,,15,0,,
14,Shane Burgos,30,145,Male,71,7,3,,,14,3,,
15,Alex Caceres,33,145,Male,70,13,10,,1,18,12,,1
C,Charles Oliveira,32,155,Male,70,19,8,,1,31,8,,1
1,Dustin Poirier,32,155,Male,69,21,6,,1,28,6,,1
2,Justin Gaethje,33,155,Male,71,6,3,,,23,3,,
3,Beneil Dariush,32,155,Male,70,15,4,1,,21,4,1,
4,Islam Makhachev,30,155,Male,70,10,1,,,21,1,,
5,Michael Chandler,35,155,Male,68,1,2,,,22,7,,
6,Rafael Dos Anjos,37,155,Male,68,19,11,,,30,13,,
7,Tony Ferguson,37,155,Male,71,15,4,,,25,6,,
8,Dan Hooker,31,155,Male,72,11,7,,,21,11,,
9,Conor Mcgregor,33,155,Male,68,10,4,,,22,6,,
10,Gregor Gillespie,34,155,Male,69,7,1,,,14,1,,
11,Carlos Diego Ferreira,36,155,Male,68,8,4,,,17,4,,
12,Brad Riddell,30,155,Male,68,4,0,,,10,1,,
13,Arman Tsarukyan,25,155,Male,69,4,1,,,17,2,,
14,Rafael Fiziev,28,155,Male,68,5,1,,,10,1,,
15,Joel Alvarez,28,155,Male,75,4,1,,,19,2,,
C,Kamaru Usman,34,170,Male,72,15,0,,,20,1,,
1,Colby Covington,33,170,Male,71,11,3,,,16,3,,
2,Gilbert Burns,35,170,Male,70,13,4,,,20,4,,
3,Leon Edwards,30,170,Male,72,11,2,,1,19,3,,1
4,Vicente Luque,29,170,Male,71,14,3,,,21,7,1,
5,Stephen Thompson,38,170,Male,72,11,5,1,,16,5,1,
6,Michael Chiesa,33,170,Male,73,11,5,,,18,5,,
7,Jorge Masvidal,37,170,Male,70,14,9,,,35,15,,
8,Neil Magny,34,170,Male,75,18,7,,,25,8,,
9,Belal Muhammad,33,170,Male,70,10,3,,1,19,3,,1
10,Khamzat Chimaev,27,170,Male,74,4,0,,,10,0,,
11,Geoff Neal,31,170,Male,71,5,2,,,13,4,,
12,Li Jingliang,33,170,Male,72,10,5,,,18,7,,
13,Santiago Ponzinibbio,35,170,Male,72,10,3,,,28,4,,
14,Sean Brady,28,170,Male,69,4,0,,,14,0,,
15,Muslim Salikhov,37,170,Male,71,5,1,,,18,2,,
C,Israel Adesanya,32,185,Male,76,10,1,,,21,1,,
1,Robert Whittaker,30,185,Male,72,14,3,,,23,5,,
2,Marvin Vettori,28,205,Male,72,8,3,1,,18,5,1,
3,Jared Cannonier,37,185,Male,71,7,5,,,14,5,,
4,Derek Brunson,37,185,Male,73,17,6,,,23,7,,
5,Paulo Costa,30,205,Male,72,5,2,,,13,2,,
6,Jack Hermansson,33,185,Male,73,9,4,,,22,6,,
7,Sean Strickland,30,185,Male,73,11,3,,,24,3,,
8,Darren Till,28,185,Male,72,6,4,1,,18,4,1,
9,Uriah Hall,37,185,Male,72,10,8,,,17,10,,
10,Kelvin Gastelum,30,185,Male,69,11,8,,1,16,8,,1
11,Brad Tavares,33,185,Male,73,14,6,,,19,6,,
12,Kevin Holland,29,185,Male,75,8,5,0,1,21,8,0,1
12,Nassourdine Imavov,26,185,Male,75,3,1,,,11,3,,
14,Chris Weidman,37,185,Male,74,11,6,,,15,6,,
15,Edmen Shahbazyan,23,185,Male,74,4,3,,,11,3,,
C,Glover Teixeira,42,205,Male,74,16,5,,,33,7,,
1,Jan Blachowicz,38,205,Male,74,16,6,,,28,9,,
2,Jiri Prochazka,29,205,Male,76,2,0,,,28,3,1,
3,Aleksandar Rakic,29,205,Male,77,6,1,,,14,2,,
4,Anthony Smith,33,205,Male,77,13,8,,,36,16,,
5,Thiago Santos,37,205,Male,74,14,8,,,22,9,,
6,Magomed Ankalaev,29,205,Male,74,7,1,,,16,1,,
7,Dominick Reyes,31,205,Male,76,6,3,,,12,3,,
8,Volkan Oezdemir,32,205,Male,74,5,5,,,17,6,,
9,Nikita Krylov,29,205,Male,74,8,6,,,27,8,,
10,Johnny Walker,29,205,Male,77,4,3,,,18,6,,
11,Paul Craig,33,205,Male,76,7,4,1,,15,4,1,
12,Ryan Spann,30,205,Male,77,5,2,,,19,7,,
13,Jimmy Crute,26,205,Male,74,4,2,,,12,2,,
14,Jamahal Hill,30,205,Male,76,2,1,,1,8,1,,1
15,Ion Cutelaba,27,205,Male,73,5,5,1,,16,6,1,1
C,Francis Ngannou,35,265,Male,76,11,2,,,16,3,,
1,Ciryl Gane,31,265,Male,77,7,0,,,10,0,,
2,Stipe Miocic,39,265,Male,76,14,4,,,20,4,,
3,Derrick Lewis,36,265,Male,75,16,6,,,25,8,,1
4,Curtis Blaydes,30,265,Male,76,10,3,,1,15,3,,1
5,Alexander Volkov,33,265,Male,79,8,3,,,34,9,,
6,Jairzinho Rozenstruik,33,265,Male,74,6,3,,,12,3,,
7,Chris Daukaus,32,265,Male,74,4,0,,,12,3,,
8,Shamil Abdurakhimov,40,265,Male,75,5,4,,,20,6,,
9,Marcin Tybura,36,265,Male,75,9,6,,,22,7,,
10,Tom Aspinall,28,265,Male,77,4,0,,,11,2,,
11,Augusto Sakai,30,265,Male,76,4,2,,,15,3,1,
12,Blagoy Ivanov,35,265,Male,71,2,3,,,18,4,,1
13,Walt Harris,38,265,Male,77,6,8,,1,13,10,,1
14,Sergei Pavlovich,29,265,Male,75,2,1,,,14,1,,
15,Sergey Spivak,26,265,Male,75,4,3,,,13,3,,
C,Rose Namajunas,29,115,Female,65,9,3,,,11,4,,
1,Zhang Weili,32,115,Female,63,5,2,,,21,3,,
2,Carla Esparza,34,115,Female,61,9,4,,,18,6,,
3,Marina Rodriguez,34,115,Female,67,5,1,2,,15,1,2,
4,Yan Xiaonan,32,115,Female,65,6,1,,,13,2,,1
5,Mackenzie Dern,28,115,Female,63,6,2,,,11,2,,
6,Nina Ansaroff,35,115,Female,65,4,4,,,10,7,,
7,Claudia Gadelha,32,115,Female,64,7,5,,,18,5,,
8,Tecia Torres,32,115,Female,61,9,5,,,13,5,,
9,Michelle Waterson,35,115,Female,63,6,5,,,18,9,,
10,Amanda Ribas,28,115,Female,64,5,1,,,11,2,,
11,Amanda Lemos,34,115,Female,64,4,1,,,10,1,1,
12,Angela Hill,34,115,Female,63,8,10,,,13,10,,
13,Virna Jandiroba,33,115,Female,63,3,3,,,17,3,,
14,Brianna Van Buren,28,115,Female,59,1,1,,,9,3,,
15,Jessica Penne,38,115,Female,65,3,3,,,14,5,,
C,Valentina Shevchenko,33,125,Female,65,11,2,,,22,3,,
1,Jessica Andrade,30,125,Female,62,13,7,,,22,9,,
2,Katlyn Chookagian,32,125,Female,69,9,4,,,16,4,,
3,Lauren Murphy,38,125,Female,67,7,5,,,15,5,,
4,Jennifer Maia,33,125,Female,64,4,3,,,19,7,1,
5,Joanne Calderwood,34,125,Female,66,7,6,,,15,6,,
6,Viviane Araujo,34,125,Female,65,4,2,,,10,3,,
7,Andrea Lee,32,125,Female,66,5,3,,,13,5,,
8,Jessica Eye,35,125,Female,66,5,9,,1,15,10,,1
9,Cynthia Calvillo,34,125,Female,64,6,4,1,,9,4,1,
10,Taila Santos,28,125,Female,65,3,1,,,18,1,,
11,Alexa Grasso,28,125,Female,65,5,3,,,13,3,,
12,Roxanne Modafferi,39,125,Female,66,4,7,,,25,19,,
13,Maycee Barber,23,125,Female,67,4,2,,,9,2,,
14,Manon Fiorot,31,125,Female,67,3,0,,,8,1,,
15,Casey O'Neill,24,125,Female,66,3,0,,,9,0,,
C,Amanda Nunes,33,145,Female,68,14,2,,,21,4,,
C,Amanda Nunes,33,135,Female,68,14,2,,,21,4,,
1,Germaine De Randamie,37,135,Female,69,8,3,,,10,4,,
2,Holly Holm,40,135,Female,68,7,5,,,14,5,,
3,Irene Aldana,33,135,Female,69,6,4,,,13,6,,
4,Julianna Pena,32,135,Female,67,6,2,,,10,4,,
5,Aspen Ladd,26,145,Female,66,4,2,,,9,2,,
6,Yana Kunitskaya,32,135,Female,66,4,3,,,14,6,,1
7,Ketlen Vieira,30,135,Female,68,5,1,,,11,1,,
8,Miesha Tate,35,135,Female,66,12,6,,,19,7,,
9,Raquel Pennington,33,135,Female,67,9,7,,,12,8,,
10,Sara Mcmann,41,135,Female,66,6,6,,,12,6,,
11,Macy Chiasson,30,135,Female,69,5,1,,,7,1,,
12,Lina Lansberg,39,135,Female,67,4,4,,,10,5,,
13,Pannie Kianzad,29,135,Female,67,4,3,,,15,6,,
14,Karol Rosa,26,135,Female,67,4,0,,,15,3,,
15,Julia Avila,33,135,Female,67,3,1,,,9,2,,
,Andrei Arlovski,42,265,Male,75,21,14,,1,32,20,,2
,Ben Rothwell,40,265,Male,76,9,8,,,39,14,,
,Alexander Gustafsson,34,265,Male,76,10,7,,,18,7,,
,Ovince Saint Preux,38,265,Male,75,15,12,,,25,16,,
,Ilir Latifi,38,265,Male,70,8,6,,,15,8,,1
,Marcos Rogerio De Lima,36,265,Male,73,8,6,,,19,7,1,
,Alexey Oleynik,44,265,Male,74,8,7,,,59,17,1,
,Jake Collier,33,265,Male,75,4,5,,,12,6,,
,Jarjis Danho,38,265,Male,75,1,1,1,,6,1,1,1
,Chase Sherman,32,265,Male,76,3,6,,,13,8,,
,Tai Tuivasa,28,265,Male,74,6,3,,,12,3,,
,Juan Espino,41,265,Male,76,2,1,,,10,2,,
,Greg Hardy,33,265,Male,77,4,4,,1,7,4,,1
,Justin Tafa,27,265,Male,72,1,3,,,4,3,,
,Tanner Boser,30,265,Male,74,4,3,,,20,8,1,
,Don'Tale Mayes,29,265,Male,78,1,2,,,8,4,,
,Philipe Lins,36,265,Male,73,0,2,,,14,5,,
,Rodrigo Nascimento,28,265,Male,75,2,1,,,9,1,,
,Carlos Felipe,26,265,Male,72,3,2,,,11,2,,
,Parker Porter,36,265,Male,72,2,1,,,12,6,,
,Alexander Romanov,30,265,Male,74,4,0,,,15,0,,
,Alan Baudot,28,265,Male,75,0,2,,,8,3,,
,Josh Parisian,32,265,Male,76,1,1,,,14,4,,
,Jared Vanderaa,29,265,Male,76,1,2,,,12,5,,
,Harry Hunsucker,32,265,Male,74,0,1,,,7,4,,
,Chris Barnett,35,265,Male,69,1,1,,,22,7,,
,Ed Herman,41,205,Male,74,13,12,,1,26,15,,1
,Mauricio Rua,39,205,Male,73,11,10,1,,27,12,1,
,Luke Rockhold,37,205,Male,75,9,4,,,16,5,,
,Jon Jones,34,205,Male,76,20,1,,1,26,1,,1
,Dustin Jacoby,33,205,Male,76,4,2,1,,16,5,1,
,Khalil Rountree,31,205,Male,73,5,5,,1,9,5,,1
,Devin Clark,33,205,Male,72,6,6,,,12,6,,
,Tyson Pedro,30,205,Male,75,3,3,,,7,3,,
,Michal Oleksiejczuk,26,205,Male,72,4,2,,1,16,4,,1
,Marcin Prachnio,33,205,Male,75,2,3,,,15,5,,
,Alonzo Menifield,34,205,Male,72,4,2,,,11,2,,
,Nicolae Negumereanu,27,205,Male,73,2,1,,,11,1,,
,Kennedy Nzechukwu,29,205,Male,77,3,2,,,9,2,,
,John Allan,28,205,Male,73,0,2,,1,13,6,,1
,Da Un Jung,33,205,Male,75,4,0,1,,15,2,1,
,Shamil Gamzatov,31,205,Male,74,1,1,,,14,1,,
,Aleksa Camur,26,205,Male,72,1,2,,,6,2,,
,Ike Villanueva,31,205,Male,72,1,4,,,18,13,,
,Maxim Grishin,37,205,Male,75,1,2,,,31,9,2,
,Danilo Marques,35,205,Male,78,2,1,,,11,3,,
,William Knight,33,205,Male,70,2,1,,,10,2,,
,Tafon Nchukwi,27,205,Male,72,2,1,,,6,1,,
,Carlos Ulberg,31,205,Male,76,0,1,,,3,1,,
,Fabio Cherant,26,205,Male,73,0,2,,,7,3,,
,Robbie Lawler,39,185,Male,71,15,11,,,29,15,,1
,Nick Diaz,38,185,Male,73,13,7,,1,26,10,,2
,Zak Cummings,37,185,Male,72,9,4,,,24,7,,
,Krzysztof Jotko,32,185,Male,73,10,5,,,23,5,,
,Sam Alvey,35,185,Male,74,10,11,1,,33,16,1,1
,Tom Breese,30,185,Male,75,5,3,,,12,3,,
,Misha Cirkunov,34,185,Male,75,6,5,,,15,7,,
,Abdul Razak Alhassan,36,185,Male,70,5,4,,,11,4,,
,Alessio Di Chirico,31,185,Male,72,4,6,,,13,6,,
,Jack Marshman,31,185,Male,72,3,5,,,23,10,,
,Gerald Meerschaert,33,185,Male,73,8,6,,,33,14,,
,Trevin Giles,29,185,Male,72,5,3,,,14,3,,
,Eryk Anders,34,185,Male,74,6,5,,1,14,5,,1
,Karl Roberson,31,185,Male,73,4,4,,,9,4,,
,Hu Yaozong,26,185,Male,75,0,3,,,3,3,,
,Julian Marquez,31,185,Male,74,3,1,,,9,2,,
,Abu Azaitar,35,185,Male,70,1,1,,,14,2,1,1
,Ian Heinisch,33,185,Male,71,3,4,,,14,5,,
,Anthony Hernandez,28,185,Male,72,2,2,,,8,2,,1
,Alen Amedovski,33,185,Male,70,0,2,,,8,2,,
,Marc-Andre Barriault,31,185,Male,73,2,3,,,13,4,,
,Deron Winn,32,185,Male,67,2,2,,,7,2,,
,Dalcha Lungiambula,36,185,Male,70,2,2,,,11,3,,
,Wellington Turman,25,185,Male,72,2,3,,,17,5,,
,Rodolfo Vieira,32,185,Male,71,3,1,,,8,1,,
,Jun Yong Park,30,185,Male,72,3,2,,,13,5,,
,Maki Pitolo,30,185,Male,69,1,4,,,13,8,,
,Makhmud Muradov,31,185,Male,74,3,1,,,25,7,,
,Brendan Allen,25,185,Male,74,5,1,,,17,4,,
,Roman Kopylov,30,185,Male,72,0,2,,,8,2,,
,Andre Muniz,31,185,Male,74,3,0,,,21,4,,
,Punahele Soriano,28,185,Male,72,2,1,,,8,1,,
,Kyle Daukaus,28,185,Male,75,1,2,0,1,10,2,0,1
,Andreas Michailidis,33,185,Male,75,1,2,,,13,5,,
,Roman Dolidze,33,185,Male,75,3,1,,,9,1,,
,Joaquin Buckley,27,185,Male,68,3,2,,,13,4,,
,Jordan Wright,30,185,Male,73,2,1,,,12,1,,1
,Dusko Todorovic,27,185,Male,73,1,2,,,10,2,,
,Dricus Du Plessis,27,185,Male,72,2,0,,,16,2,,
,Jacob Malkoun,26,185,Male,73,1,1,,,5,1,,
,Phil Hawes,32,185,Male,71,3,1,,,11,3,,
,Dustin Stoltzfus,30,185,Male,71,0,2,,,13,3,,
,Jamie Pickett,33,185,Male,74,1,2,,,12,6,,
,Gregory Rodrigues,29,185,Male,75,2,0,,,11,3,,
,Bruno Silva,32,185,Male,72,2,0,,,21,6,,
,Andre Petroski,30,185,Male,72,2,0,,,7,1,,
,Micheal Gillmore,34,185,Male,71,0,1,,,6,4,,
,Bryan Battle,27,185,Male,73,1,0,,,6,1,,
,Gilbert Urbina,25,185,Male,75,0,1,,,6,2,,
,Nick Maximov,23,185,Male,72,1,0,,,7,0,,
,Cody Brundage,27,185,Male,72,0,1,,,6,2,,
,Albert Duraev,32,185,Male,71,1,0,,,15,3,,
,Chris Curtis,34,185,Male,70,1,0,,,27,8,,
,Alex Pereira,34,185,Male,76,1,0,,,4,1,,
,Nate Diaz,36,170,Male,72,18,12,,,20,13,,
,Matt Brown,40,170,Male,72,16,12,,,23,18,,
,Donald Cerrone,38,170,Male,72,29,16,1,1,36,16,1,1
,Court Mcgee,36,170,Male,71,9,9,,,20,10,,
,Tim Means,37,170,Male,74,14,9,,1,32,12,1,1
,Francisco Trinaldo,43,170,Male,69,17,7,,,27,8,,
,Gunnar Nelson,33,170,Male,71,8,5,,,17,5,1,
,Michel Prazeres,40,170,Male,66,10,4,,,26,4,,
,James Krause,35,170,Male,74,9,6,,,28,8,,
,Jesse Ronson,35,170,Male,69,1,3,,,22,10,,
,Kevin Lee,29,170,Male,69,11,7,,,18,7,,
,Claudio Silva,39,170,Male,71,5,2,,,14,3,,
,Warlley Alves,30,170,Male,71,8,5,,,14,5,,
,Jake Matthews,27,170,Male,69,10,5,,,17,5,,
,Dhiego Lima,32,170,Male,74,4,7,,,15,9,,
,Bryan Barberena,32,170,Male,72,6,6,,,15,8,,
,Alex Oliveira,33,170,Male,71,11,9,,1,21,11,1,2
,Elizeu Zaleski Dos Santos,35,170,Male,71,9,3,,,23,7,,
,Nicolas Dalby,37,170,Male,71,3,3,1,2,19,4,1,2
,Lyman Good,36,170,Male,72,3,3,,,21,5,,1
,Danny Roberts,34,170,Male,72,7,4,,,18,5,,
