ranking,name,age,weight,gender,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Alex Morono,31,170,Male,71,9,4,,1,20,7,,1
,Randy Brown,31,170,Male,75,8,4,,,14,4,,
,Mickey Gall,29,170,Male,74,6,3,,,7,3,,
,Mike Jackson,36,170,Male,74,1,1,,,1,1,,
,Max Griffin,35,170,Male,72,6,6,,,18,8,,
,Niko Price,32,170,Male,72,7,5,,2,15,5,,2
,Ramazan Emeev,34,170,Male,70,5,2,,,20,5,,
,Song Kenan,31,170,Male,72,4,2,,,16,6,,
,David Zawada,31,170,Male,72,1,4,,,17,7,,
,Dwight Grant,37,170,Male,73,3,3,,,11,4,,
,Takashi Sato,31,170,Male,70,2,2,,,16,4,,
,Michel Pereira,28,170,Male,74,4,2,,,26,11,,2
,Sergey Khandozhko,29,170,Male,73,1,1,,,26,6,1,
,Miguel Baeza,29,170,Male,74,3,2,,,10,2,,
,Abubakar Nurmagomedov,32,170,Male,71,1,1,,,16,3,1,
,Khaos Williams,27,170,Male,72,4,1,,,13,2,,
,Daniel Rodriguez,34,170,Male,74,6,1,,,16,2,,
,Gabriel Green,28,170,Male,70,2,0,,,10,2,,
,Jason Witt,35,170,Male,70,2,2,,,19,7,,
,Mounir Lazzez,34,170,Male,70,1,1,,,10,2,,
,Niklas Stolze,28,170,Male,72,1,1,,,13,4,,
,Matthew Semelsberger,28,170,Male,73,3,1,,,9,3,,
,Impa Kasanganay,27,170,Male,71,2,2,,,9,2,,
,Jordan Williams,27,170,Male,72,0,3,,,9,6,,1
,Shavkat Rakhmonov,27,170,Male,73,2,0,,,14,0,,
,Ramiz Brahimaj,29,170,Male,70,1,1,,,9,3,,
,Sasha Palatnikov,32,170,Male,73,1,2,,,6,4,,
,Louis Cosce,26,170,Male,69,0,1,,,7,1,,
,Jared Gooden,27,170,Male,76,1,3,,,18,7,,
,Philip Rowe,31,170,Male,75,1,1,,,8,3,,
,Carlston Harris,34,170,Male,72,2,0,,,17,4,,
,Jeremiah Wells,35,170,Male,69,1,0,,,9,2,1,
,Preston Parsons,26,170,Male,71,0,1,,,9,3,,
,Orion Cosce,27,170,Male,71,0,1,,,7,1,,
,Martin Sano Jr.,30,170,Male,71,0,1,,,4,3,1,
,Benoit St.Denis,25,170,Male,71,0,1,,,8,1,,1
,Ian Garry,24,170,Male,75,1,0,,,8,0,,
,Clay Guida,39,155,Male,67,17,15,,,36,21,,
,Joe Lauzon,37,155,Male,70,15,12,,,28,15,,
,Jeremy Stephens,35,155,Male,68,15,18,,1,28,19,,1
,Jim Miller,38,155,Male,68,22,15,,1,33,16,,1
,Michael Johnson,35,155,Male,69,11,13,,,19,17,,
,John Makdessi,36,155,Male,68,11,7,,,18,7,,
,Bobby Green,35,155,Male,70,13,8,1,,28,12,1,
,Al Iaquinta,34,155,Male,67,9,6,,,14,7,1,
,Drew Dober,33,155,Male,68,9,7,,1,23,11,,1
,Vinc Pichel,38,155,Male,70,7,2,,,14,2,,
,Leonardo Santos,41,155,Male,73,7,1,1,,18,4,1,
,Alan Patrick,38,155,Male,71,5,3,,,15,3,,
,Sean Soriano,32,155,Male,69,0,4,,,14,7,,
,Renato Moicano,32,155,Male,71,7,4,,,15,4,1,
,Magomed Mustafaev,33,155,Male,69,3,2,,,14,3,,
,Scott Holtzman,38,155,Male,69,7,5,,,14,5,,
,Joaquim Silva,32,155,Male,68,4,3,,,11,3,,
,Chris Gruetzemacher,35,155,Male,68,3,3,,,15,4,,
,David Teymur,32,155,Male,69,5,1,,,8,2,,
,Damir Hadzovic,35,155,Male,71,4,4,,,14,6,,
,Ricky Glenn,32,155,Male,72,4,3,1,,22,6,2,
,Marc Diakiese,28,155,Male,70,5,5,,,14,5,,
,Claudio Puelles,25,155,Male,71,3,1,,,10,2,,
,Drakkar Klose,33,155,Male,68,5,2,,,11,2,1,
,Davi Ramos,35,155,Male,68,4,3,,,10,4,,
,Jared Gordon,33,155,Male,69,6,3,,,18,4,,
,Frank Camacho,32,155,Male,69,2,5,,,22,9,,
,Nasrat Haqparast,26,155,Male,70,5,3,,,13,4,,
,Matt Frevola,31,155,Male,69,2,3,1,,8,3,1,
,Alexander Hernandez,29,155,Male,69,5,3,,,13,4,,
,Christos Giagos,31,155,Male,70,5,5,,,19,9,,
,Luigi Vendramini,25,155,Male,68,1,4,,,9,4,,
,Devonte Smith,28,155,Male,68,3,2,,,11,3,,
,Thiago Moises,26,155,Male,69,4,4,,,15,6,,
,Jalin Turner,26,155,Male,75,4,2,,,11,5,,
,Damir Ismagulov,30,155,Male,70,4,0,,,20,1,,
,Grant Dawson,27,155,Male,70,5,0,1,,17,1,1,
,Alex Da Silva Coelho,25,155,Male,70,1,2,,,21,3,,
,Mike Davis,29,155,Male,72,2,1,,,9,2,,
,Austin Hubbard,29,155,Male,70,3,4,,,13,6,,
,Rodrigo Vargas,36,155,Male,67,1,2,,,11,4,,
,Fares Ziam,24,155,Male,72,2,1,,,12,3,,
,Mark Madsen,37,155,Male,70,3,0,,,11,0,,
,Jamie Mullarkey,27,155,Male,68,2,2,,,14,4,,
,Ottman Azaitar,31,155,Male,68,2,0,,,13,0,,
,Joe Solecki,28,155,Male,69,3,1,,,11,3,,
,Steve Garcia,29,155,Male,72,1,1,,,12,4,,
,Jai Herbert,33,155,Male,73,0,2,,,10,3,,
,Alexander Munoz,31,155,Male,69,0,2,,,6,2,,
,Mateusz Gamrot,30,155,Male,70,2,1,,,19,1,,
,Guram Kutateladze,29,155,Male,71,1,0,,,12,2,,
,Charlie Ontiveros,30,155,Male,74,0,2,,,11,8,,
,Jordan Leavitt,26,155,Male,71,1,1,,,8,1,,
,Mason Jones,26,155,Male,70,1,1,,,11,1,,
,Uros Medic,28,155,Male,73,1,1,,,7,1,,
,Rafa Garcia,27,155,Male,67,0,2,,,11,2,,
,Ignacio Bahamondes,24,155,Male,75,1,1,,,12,4,,
,Dakota Bush,27,155,Male,70,0,1,,,8,3,,
,Zhu Rong,21,155,Male,69,1,1,,,18,4,,
,Rafael Alves,31,155,Male,68,1,1,,,20,10,,
,Terrance Mckinney,27,155,Male,70,1,0,,,11,3,,
,Paddy Pimblett,26,155,Male,70,1,0,,,17,3,,
,Brandon Jenkins,30,155,Male,72,0,1,,,15,8,,
,Mike Breeden,32,155,Male,70,0,1,,,10,4,,
,Erick Gonzalez,29,155,Male,71,0,1,,,14,6,,
,David Onama,27,155,Male,71,0,1,,,8,1,,
,Cub Swanson,38,145,Male,67,17,11,,,27,12,,
,Darren Elkins,37,145,Male,70,16,8,,,26,9,,
,Daniel Pineda,36,145,Male,67,4,5,,1,27,14,,1
,Andre Fili,31,145,Male,71,9,7,,1,21,8,,1
,Zubaira Tukhugov,30,145,Male,68,5,2,1,,20,5,1,
,Chas Skelly,36,145,Male,71,7,4,,,18,4,,
,Damon Jackson,33,145,Male,71,2,2,1,1,19,3,1,1
,Charles Rosa,35,145,Male,69,5,6,,,14,6,,
,Gabriel Benitez,33,145,Male,68,6,5,,,22,9,,
,Doo Ho Choi,30,145,Male,70,3,3,,,14,4,,
,Makwan Amirkhani,33,145,Male,70,6,5,,,16,7,,
,Ryan Hall,36,145,Male,70,4,1,,,8,2,,
,Lando Vannata,29,145,Male,69,4,5,2,,12,5,2,
,Kevin Aguilar,33,145,Male,67,2,4,,,17,5,,
,Ricardo Ramos,26,145,Male,69,6,3,,,15,4,,
,Gavin Tucker,35,145,Male,67,4,2,,,13,2,,
,Danny Henry,33,145,Male,71,2,2,,,12,4,,
,Zabit Magomedsharipov,30,145,Male,73,6,0,,,18,1,,
,Shane Young,28,145,Male,68,2,3,,,13,6,,
,Steven Peterson,31,145,Male,69,3,3,,,19,9,,
,Hakeem Dawodu,30,145,Male,68,5,2,,,12,2,1,
,Ricky Simon,29,145,Male,66,6,2,,,18,3,,
,Charles Jourdain,25,145,Male,69,2,3,1,,11,4,1,
,Michael Trizano,29,145,Male,71,3,1,,,9,1,,
,Matt Sayles,27,145,Male,67,1,2,,,8,3,,
,Kyle Nelson,30,145,Male,71,1,4,,,13,4,,
,Julian Erosa,32,145,Male,73,4,5,,,25,9,,
,Chris Fishgold,29,145,Male,68,1,3,,,18,4,1,
,Felipe Colares,27,145,Male,69,2,2,,,10,2,,
,Felipe Colares,27,135,Male,69,2,3,,,10,3,,
,Kron Gracie,33,145,Male,69,1,1,,,5,1,,
,Mike Grundy,34,145,Male,68,1,2,,,12,3,,
,Seung Woo Choi,29,145,Male,71,3,3,,,10,4,,
,Lerone Murphy,30,145,Male,70,3,0,1,,11,0,1,
,Tristan Connelly,35,145,Male,71,1,1,,,14,7,,
,Sean Woodson,29,145,Male,74,3,1,,,9,1,,
,Jonathan Pearce,29,145,Male,71,2,1,,,11,4,,
,Billy Quarantillo,32,145,Male,70,4,2,,,16,4,,
,Omar Morales,36,145,Male,69,3,2,,,11,2,,
,Chase Hooper,22,145,Male,73,2,2,,,10,2,1,
,Herbert Burns,33,145,Male,69,2,1,,,11,3,,
,Nate Landwehr,33,145,Male,69,2,2,,,15,4,,
,Youssef Zalal,25,145,Male,70,3,3,,,10,5,,
,Austin Lingo,24,145,Male,70,2,1,,,9,1,,
,Joshua Culibao,27,145,Male,69,1,1,1,,9,1,1,
,T.J. Brown,31,145,Male,69,1,2,,,15,8,,
,Darrick Minner,31,145,Male,68,2,2,,,26,12,,
,Jamall Emmers,32,145,Male,70,1,2,,,18,6,,
,Danny Chavez,34,145,Male,67,1,0,1,,11,3,1,
,Bill Algeo,32,145,Male,71,1,2,,,14,6,,
,Kevin Croom,34,145,Male,71,0,1,,,21,13,,
,T.J. Laramie,24,145,Male,66,0,1,,,12,4,,
,Ludovit Klein,26,145,Male,68,1,2,,,17,4,,
,Ilia Topuria,24,145,Male,67,3,0,,,11,0,,
,Marcelo Rojo,33,145,Male,68,0,1,,,16,7,,
,Luis Saldana,30,145,Male,71,1,1,,,15,7,,
,Pat Sabatini,31,145,Male,68,2,0,,,15,3,,
,Tucker Lutz,27,145,Male,68,1,0,,,12,1,,
,Shayilan Nuerdanbieke,27,145,Male,68,0,1,,,19,7,,
,Kamuela Kirk,27,145,Male,70,1,0,,,12,4,,
,Melsik Baghdasaryan,29,145,Male,69,2,0,,,7,1,,
,Collin Anglin,28,145,Male,69,0,2,,,8,3,,
,Bruno Souza,25,145,Male,70,0,1,,,10,2,,
,Urijah Faber,42,135,Male,66,20,10,,,35,11,,
,Eddie Wineland,37,135,Male,68,10,11,,,24,15,1,
,Rani Yahya,37,135,Male,66,16,7,1,1,27,10,1,1
,Mitch Gagnon,37,135,Male,65,4,4,,,12,5,,
,Kang Kyung-Ho,34,135,Male,69,6,2,,1,17,8,,1
,Davey Grant,35,135,Male,68,4,4,,,13,5,,
,Douglas Silva De Andrade,36,135,Male,67,5,4,,,27,4,,1
,Louis Smolka,30,135,Male,69,8,7,,,17,7,,
,Frankie Saenz,41,135,Male,66,5,5,,,13,7,,
,Guido Cannetti,41,135,Male,66,2,5,,,8,6,,
,Alejandro Perez,32,135,Male,66,8,3,1,,22,8,1,
,Aiemann Zahabi,33,135,Male,68,2,2,,,8,2,,
,Brian Kelleher,35,135,Male,66,7,5,,,23,12,,
,Sean O'Malley,27,135,Male,71,6,1,,,14,1,,
,Brandon Davis,31,135,Male,70,2,6,,,14,8,,
,Benito Lopez,27,135,Male,70,2,1,,,10,1,,
,Julio Arce,32,135,Male,67,4,3,,,17,5,,
,Nathaniel Wood,28,135,Male,66,4,2,,,,,,
,Raoni Barcelos,34,135,Male,67,5,1,,,16,2,,
,Said Nurmagomedov,29,135,Male,68,3,1,,,14,2,,
,Liu Pingyuan,28,135,Male,66,2,2,,,13,7,,
,Khalid Taha,29,135,Male,67,1,3,,1,13,4,,1
,Montel Jackson,29,135,Male,70,5,2,,,11,4,,
,Andre Ewell,33,135,Male,71,4,4,,,17,8,,
,Jonathan Martinez,35,135,Male,67,5,3,,,14,4,,
,Vince Morales,31,135,Male,67,2,3,,,10,5,,
,Chris Gutierrez,30,135,Male,68,5,1,1,,17,4,2,
,Mario Bautista,28,135,Male,69,2,2,,,8,2,,
,Raulian Paiva,26,135,Male,66,3,2,,,21,3,,
,Casey Kenney,30,135,Male,67,5,3,,,16,4,1,
,Randy Costa,27,135,Male,70,2,2,,,6,2,,
,Journey Newson,32,135,Male,65,0,2,,1,9,3,,1
,Domingo Pilarte,31,135,Male,72,0,2,,,8,3,,
,Heili Alateng,29,135,Male,66,2,1,1,,14,8,2,
,Danaa Batgerel,32,135,Male,68,3,1,,,10,2,,
,Miles Johns,27,135,Male,67,3,1,,,12,1,,
,Hunter Azure,29,135,Male,68,2,2,,,9,2,,
,Jack Shore,26,135,Male,69,4,0,,,15,0,,
,Tony Gravely,30,135,Male,65,2,2,,,21,7,,
,Kyler Phillips,26,135,Male,68,3,1,,,9,2,,
,Gustavo Lopez,32,135,Male,66,1,2,1,,12,6,1,
,Aaron Phillips,32,135,Male,69,0,3,,,12,4,,
,John Castaneda,29,135,Male,67,1,1,,,18,5,,
,Nate Maness,30,135,Male,70,3,0,,,14,1,,
,Johnny Munoz Jr.,28,135,Male,69,1,1,,,11,1,,
,Tony Kelley,34,135,Male,70,1,1,,,7,2,,
,Trevin Jones,31,135,Male,66,1,1,,1,13,7,,1
,Timur Valiev,31,135,Male,66,2,0,0,1,17,2,,1
,Cameron Else,30,135,Male,68,0,1,,,10,5,,
,Mark Striegl,33,135,Male,68,0,1,,,18,3,,1
,Kevin Natividad,28,135,Male,66,0,2,,,9,3,,
,Adrian Yanez,27,135,Male,67,3,0,,,14,3,,
,Umar Nurmagomedov,25,135,Male,68,1,0,,,13,0,,
,Sergey Morozov,32,135,Male,66,1,1,,,17,5,,
,Gaetano Pirrello,29,135,Male,67,0,2,,,15,7,1,
,Ronnie Lawrence,29,135,Male,68,1,0,,,7,1,,
,Jesse Strader,30,135,Male,67,0,1,,,5,2,,
,Jp Buys,25,135,Male,65,0,2,,,9,4,,
,Kris Moutinho,29,135,Male,67,0,1,,,9,5,,
,Saidyokub Kakhramonov,26,135,Male,67,1,0,,,9,2,,
,Leomana Martinez,25,135,Male,70,1,0,,,9,2,,
,Ricky Turcios,28,135,Male,69,1,0,,,11,2,,
,Brady Hiestand,22,135,Male,68,0,1,,,5,2,,
,Liudvik Sholinian,31,135,Male,70,0,1,,,9,2,1,
,Zviad Lazishvili,30,135,Male,66,0,1,,,12,1,,
,Bruno Gustavo Da Silva,31,125,Male,64,2,2,,1,12,5,2,1
,Ode' Osbourne,29,125,Male,67,2,2,,,10,4,0,1
,Zarrukh Adashev,29,125,Male,67,1,2,,,4,3,,
,Zhalgas Zhumagulov,33,125,Male,64,1,2,,,14,5,,
,Malcolm Gordon,31,125,Male,67,2,1,,,13,5,,
,Cody Durden,30,125,Male,67,0,1,1,,11,3,1,
,Victor Rodriguez,29,125,Male,65,0,2,,,7,4,,
,Francisco Figueiredo,32,125,Male,66,1,1,,,12,4,1,
,Manel Kape,28,125,Male,65,1,2,,,16,6,,
,Qileng Aori,28,125,Male,67,0,1,,,18,8,,
,Jeff Molina,24,125,Male,66,2,0,,,10,2,,
,Juancamilo Ronderos,26,125,Male,64,0,1,,,4,1,,
,Daniel Lacerda,25,125,Male,66,0,1,,,10,2,,
,Allan Nascimento,30,125,Male,69,0,1,,,18,6,,
,C.J. Vergara,30,125,Male,66,0,1,,,9,3,,
,Leah Letson,29,145,Female,67,2,0,,,6,1,,
,Felicia Spencer,30,145,Female,66,3,3,,,9,3,,
,Zarah Fairn Dos Santos,28,145,Female,70,0,2,,,6,4,,
,Norma Dumont,31,145,Female,67,4,1,,,7,1,,
,Alexis Davis,37,135,Female,66,9,7,,,20,11,,
,Ashlee Evans-Smith,34,135,Female,68,3,5,,,6,5,,
,Veronica Macedo,26,135,Female,63,1,4,,,6,4,1,
,Jessica-Rose Clark,33,135,Female,64,4,2,,,11,6,,1
,Wu Yanan,25,135,Female,69,1,3,,,10,4,,
,Julija Stoliarenko,28,135,Female,67,0,2,,,9,5,2,
,Bea Malecki,30,135,Female,71,2,1,,,4,1,,
,Shanna Young,30,135,Female,67,0,2,,,7,4,,
,Stephanie Egger,33,135,Female,67,1,1,,,6,2,,
,Joselyne Edwards,26,135,Female,66,1,3,,,10,4,,
,Josiane Nunes,27,135,Female,62,1,0,,,8,1,,
,Maryna Moroz,30,125,Female,67,5,3,,,10,3,,
,Cortney Casey,34,125,Female,67,6,8,,,10,9,,
,Jj Aldrich,29,125,Female,65,6,3,,,10,4,,
,Gina Mazany,33,125,Female,66,2,5,,,7,5,,
,Ji Yeon Kim,32,125,Female,66,3,4,,,9,4,2,
,Poliana Botelho,32,125,Female,68,3,3,,,8,4,,
,Montana De La Rosa,26,125,Female,67,5,2,1,,12,6,1,
,Gillian Robertson,26,125,Female,62,6,4,,,9,6,,
,Priscila Cachoeira,33,125,Female,67,2,3,,,10,3,,
,Molly Mccann,31,125,Female,64,4,3,,,11,4,,
,Sijara Eubanks,36,125,Female,64,5,4,,,7,6,,
,Mayra Bueno Silva,30,125,Female,66,2,2,1,,6,2,1,
,Antonina Shevchenko,36,125,Female,68,3,4,,,9,4,,
,Ariane Lipski,27,125,Female,66,3,4,,,14,7,,
,Sabina Mazo,24,125,Female,67,3,3,,,9,3,,
,Luana Carolina,28,125,Female,67,3,1,,,8,2,,
,Hannah Goldy,29,125,Female,64,1,2,,,6,2,,
,Tracy Cortez,27,125,Female,65,3,0,,,9,1,,
,Mariya Agapova,24,125,Female,66,2,1,,,10,2,,
,Miranda Maverick,24,125,Female,63,2,1,,,9,3,,
,Victoria Leonardo,31,125,Female,65,0,2,,,8,4,,
,Lupita Godinez,28,125,Female,62,1,2,,,6,2,,
,Elise Reed,28,125,Female,63,0,1,,,4,1,,
,Melissa Gatto,25,125,Female,65,1,0,,,7,0,2,
,Vanessa Demopoulos,33,125,Female,62,0,1,,,6,4,,
,Erin Blanchfield,22,125,Female,64,1,0,,,7,1,,
,Mandy Bohm,32,125,Female,67,0,1,,,7,1,,1
,Joanna Jedrzejczyk,34,115,Female,66,10,4,,,16,4,,
,Felice Herrig,37,115,Female,64,5,4,,,14,9,,
,Karolina Kowalkiewicz,36,115,Female,63,5,7,,,12,7,,
,Tatiana Suarez,30,115,Female,65,5,0,,,8,0,,
,Ashley Yoder,34,115,Female,67,3,8,,,,,,
,Polyana Viana,29,115,Female,67,3,3,,,12,4,,
,Hannah Cifers,29,115,Female,61,2,5,,,10,7,,
,Miranda Granger,29,115,Female,67,1,2,,,7,2,,
,Mizuki Inoue,27,115,Female,64,1,1,,,14,6,,
,Ariane Carnelossi,29,115,Female,62,2,1,,,14,2,,
,Diana Belbita,25,115,Female,67,1,2,,,14,6,,
,Loma Lookboonmee,25,115,Female,61,3,1,,,6,2,,
,Mallory Martin,27,115,Female,64,1,2,,,7,4,,
,Jinh Yu Frey,36,115,Female,62,2,2,,,11,6,,
,Kay Hansen,22,115,Female,63,1,1,,,7,4,,
,Kanako Murata,28,115,Female,61,1,1,,,12,2,,
,Cory Mckenna,22,115,Female,63,1,0,,,6,1,,
,Sam Hughes,29,115,Female,65,0,2,,,5,3,,
,Gloria De Paula,26,115,Female,65,0,2,,,5,4,,
,Montserrat Ruiz,28,115,Female,60,1,1,,,10,2,,
,Cheyanne Buys,26,115,Female,63,1,1,,,6,2,,
,Na Liang,25,115,Female,65,0,1,,,14,5,,
,Luana Pinheiro,28,115,Female,62,1,0,,,9,1,,
,Tabatha Ricci,26,115,Female,61,1,1,,,6,1,,
,Silvana Gomez Juarez,36,115,Female,63,0,1,,,10,3,,
,Istela Nunes,29,115,Female,64,0,1,,,6,2,,1
,Maria Oliveira,24,115,Female,65,0,1,,,12,5,,
